Date/Time,Word Count,en,es,gl
2026.02.03-17.07.11,0,0,0,0
2026.02.03-17.40.06,12,12,0,0
2026.02.03-17.45.48,12,12,12,12
2026.02.03-18.18.46,14,14,12,12
2026.02.03-18.26.25,14,14,14,14
2026.02.04-23.46.05,34,34,9,9
2026.02.04-23.54.20,34,34,31,34
2026.02.04-23.55.29,34,34,34,34
2026.02.07-00.08.25,48,48,34,34
2026.02.07-00.14.32,48,48,48,48
2026.02.07-20.06.13,65,65,48,48
2026.02.07-20.12.02,65,65,48,64
2026.02.07-20.14.16,65,65,65,65
2026.02.10-20.23.34,431,431,65,65
2026.02.10-21.14.50,431,431,247,431
2026.02.11-17.35.31,435,435,197,282
2026.02.11-17.38.06,435,435,350,350
